asset.id,asset.name,asset.resource_name,asset.type,campaign.name,campaign.resource_name,campaign_asset.field_type,campaign_asset.primary_status,campaign_asset.resource_name,campaign_asset.status,metrics.clicks,metrics.conversions,metrics.conversions_value,metrics.cost,metrics.ctr,metrics.impressions
243097391678,,customers/4760314854/assets/243097391678,11,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,13,2,customers/4760314854/campaignAssets/23678661534~243097391678~SITELINK,2,486,10,0,360923.45,0.23893805309734514,2034
243210513282,,customers/4760314854/assets/243210513282,9,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,11,2,customers/4760314854/campaignAssets/23678661534~243210513282~CALLOUT,2,223,5.666667,0,155565.70,0.1479761114797611,1507
243210513279,,customers/4760314854/assets/243210513279,9,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,11,2,customers/4760314854/campaignAssets/23678661534~243210513279~CALLOUT,2,166,3.666667,0,118410.88,0.15132178669097537,1097
343436205076,DJI_0755-HDR_1.jpg,customers/4760314854/assets/343436205076,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343436205076~AD_IMAGE,2,144,1,0,93830.81,0.14953271028037382,963
343344143315,WhatsApp Image 2026-03-26 at 13.49.40_1.jpeg,customers/4760314854/assets/343344143315,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343344143315~AD_IMAGE,2,119,1,0,72478.97,0.16550764951321278,719
343344263333,DJI_0685-HDR_1.jpg,customers/4760314854/assets/343344263333,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343344263333~AD_IMAGE,2,71,2,0,37612.39,0.13172541743970315,539
343436262979,DJI_0750-HDR_1.jpg,customers/4760314854/assets/343436262979,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343436262979~AD_IMAGE,2,78,3.666666,0,49016.98,0.14885496183206107,524
343436263096,DJI_0680-HDR_1.jpg,customers/4760314854/assets/343436263096,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343436263096~AD_IMAGE,2,28,1,0,21119.21,0.13658536585365855,205
343344132209,WhatsApp Image 2026-03-26 at 13.49.40_1.9108.jpeg,customers/4760314854/assets/343344132209,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343344132209~AD_IMAGE,2,0,0,0,0.00,0,1
343344153305,DJI_0680-HDR_1.9108.jpg,customers/4760314854/assets/343344153305,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343344153305~AD_IMAGE,2,0,0,0,0.00,0,1
343435976068,DJI_0685-HDR_1.9108.jpg,customers/4760314854/assets/343435976068,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343435976068~AD_IMAGE,2,0,0,0,0.00,0,1
343436262883,DJI_0755-HDR_1.9108.jpg,customers/4760314854/assets/343436262883,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343436262883~AD_IMAGE,2,0,0,0,0.00,0,1
343482581349,DJI_0750-HDR_1.9108.jpg,customers/4760314854/assets/343482581349,4,Agrícola I Search I NB I Vista los Naranjos,customers/4760314854/campaigns/23678661534,26,2,customers/4760314854/campaignAssets/23678661534~343482581349~AD_IMAGE,2,0,0,0,0.00,0,1
